task_name,component_id,task_schedulable,avg_response_time,max_response_time,component_schedulable
Task_0,Camera_Sensor,TRUE,56.30,56.30,TRUE
Task_1,Camera_Sensor,TRUE,3.20,3.20,TRUE
Task_2,Camera_Sensor,TRUE,12.50,12.50,TRUE
Task_3,Camera_Sensor,TRUE,300.00,300.00,TRUE
Task_4,Image_Processor,TRUE,6.81,7.10,TRUE
Task_5,Image_Processor,TRUE,4.05,4.90,TRUE
Task_6,Lidar_Sensor,TRUE,15.74,16.70,TRUE
Task_7,Lidar_Sensor,TRUE,1.42,2.30,TRUE
Task_8,Lidar_Sensor,TRUE,83.73,84.50,TRUE
Task_9,Lidar_Sensor,TRUE,369.00,369.10,TRUE
Task_10,Lidar_Sensor,TRUE,0.00,0.00,TRUE
Task_11,Lidar_Sensor,TRUE,1.20,1.20,TRUE
Task_12,GPS_Sensor,TRUE,7.50,7.50,TRUE
Task_13,GPS_Sensor,TRUE,75.00,75.00,TRUE
Task_14,Communication_Unit,TRUE,7.20,7.20,TRUE
Task_15,Communication_Unit,TRUE,100.00,100.00,TRUE
Task_16,Communication_Unit,TRUE,11.29,14.30,TRUE
Task_17,Communication_Unit,TRUE,17.90,17.90,TRUE
Task_18,Proximity_Sensor,TRUE,61.76,97.10,TRUE
Task_19,Proximity_Sensor,TRUE,250.00,250.00,TRUE
Task_20,Proximity_Sensor,TRUE,4.14,24.30,TRUE
